submission_id,respondent_id,submitted_at,loan_id,nps_score,nps_reason,improvement_suggestion,device_quality_happy,service_support_happy,payment_delay,support_difficulty,support_challenge_details,battery_issues,used_moapp,preferred_channel,phone_locked_on_time_payment,other_feedback,nps_category,year,month
xXjrGz5,PNg5NQ,4/23/2025 8:24,recWRacKOC3ZGkDV9,9,,,Yes,Yes,Yes,No,Nop,No,"yes, but i am not satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Why can't use multiple sim card,Promoter,2025,2025-04
D4KBgpl,ybG6Q4,4/23/2025 8:36,recfpJrULms8T9t8o,10,,,Yes,Yes,No,No,Everything is ok,No,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Everything is OK except my device camera please it not clear I don't know why,Promoter,2025,2025-04
PdDDdvQ,ogNrNN,4/23/2025 9:02,recFizPG15Ef6gkxg,0,,,No,No,Yes,Yes,I feel conned,Yes,"yes, and i am satisfied with the moapp",Free SMS – 25044,Yes,No,Detractor,2025,2025-04
PdDDp9Q,W6gPGQ,4/23/2025 9:12,recZN0sS07MrrXMuX,8,,,Yes,Yes,No,No,,Yes,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,8,Passive,2025,2025-04
obDDEyM,LjgYDz,4/23/2025 9:14,rectysymwInZR3TKf,9,,,Yes,Yes,No,No,Na,No,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,The phone is generally of good quality and for a refurbished phone it's delivering beyond expectations,Promoter,2025,2025-04
kd996dZ,VadoG6,4/23/2025 9:51,recoDanq8k5jjUpyc,8,,,Yes,Yes,No,No,I'm Good,Yes,"yes, and i am satisfied with the moapp",MoPhones App,No,Likely,Passive,2025,2025-04
obDD5vN,6Y99Ek,4/23/2025 11:09,recTMnMNTh2TD880M,6,,,Yes,No,Yes,No,Adding some more days of locking my phone,No,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Adding days for locking my phone,Detractor,2025,2025-04
dWNNvqA,OZgy6g,4/23/2025 11:20,rec6yK2csRIeZc0ax,7,,,Yes,Yes,No,No,No,No,"yes, and i am satisfied with the moapp",Free SMS – 25044,No,"Why is it that when inserted anew line ,the phone lock?",Passive,2025,2025-04
lbqq106,pNMqRJ,4/23/2025 11:57,recsGMXCdsPRdm2au,10,,,Yes,Yes,No,No,I haven't experienced any challenge so far so good,No,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Good job..continue with the good work,Promoter,2025,2025-04
vGrrol8,eGpkbl,4/23/2025 12:59,reczS2TvBrmB4Lh7n,9,,,Yes,Yes,Yes,No,No,No,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No,Promoter,2025,2025-04
zxNyEa8,9Y5q6Q,4/23/2025 13:26,recjo66ws3ngu5MbQ,10,,,Yes,Yes,Yes,No,N/a,Yes,"yes, and i am satisfied with the moapp",MoPhones App,Yes,N/a,Promoter,2025,2025-04
GxK9pPo,GVyK6e,4/23/2025 13:45,recTHPJ0VVGhUs3Hw,10,,,Yes,Yes,Yes,,,,,,,,Promoter,2025,2025-04
GxK9jKp,v1OAkd,4/23/2025 15:49,recf7G4XBpEuEMUAx,3,,,No,No,No,No,My selfie camera has dust in it and I've visited you twice but no permanent solution provided and also i can't use some apps like good lock,Yes,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Kindly help me fix this issue with good lock,Detractor,2025,2025-04
BzKdrPe,2Y5V1L,4/23/2025 16:42,recPekXjYDp0AR7Nk,9,,,Yes,Yes,Yes,Yes,"I needed a feedback on my payment status jut to end up in vain, no response at all. I think it will be better if you guys can respond to customers request. Meanwhile you have the best services I've ever received. Thanks for your relentless efforts 👌",No,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Noop,Promoter,2025,2025-04
KYex1Wz,2Y56Jg,4/23/2025 17:59,rec841Tx8cXpzy4kj,,,,,,,,,,,,,,,2025,2025-04
xXjD91G,PNejbB,4/23/2025 19:12,recsAwu7mLzh56j6U,7,,,Yes,Yes,No,No,When the phone is switched off receiving calls be becomes a major issue,,,,,,Passive,2025,2025-04
Y5RGxP0,1YyWrl,4/23/2025 19:26,recx2vfKtcoHOiSFo,10,,,Yes,Yes,Yes,No,,,,,,,Promoter,2025,2025-04
Xxro86Y,AYGr7o,4/23/2025 19:30,reccVSOOu2BKOfwmo,0,,,No,Yes,No,No,No,Yes,"yes, and i am satisfied with the moapp",MoPhones App,No,My phone is not charging properly internet problem I'm very stressed . Can I return it to the shop and stop that business,Detractor,2025,2025-04
1Zgdjg,zoZNg8,4/23/2025 19:43,rec95VMkX4zJdrb1U,10,,,Yes,Yes,No,No,Non,Yes,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Non,Promoter,2025,2025-04
rjBO152,qqMRbO,4/23/2025 20:13,rec9JO680RShmP9cf,7,,,Yes,Yes,No,Yes,"I lost my phone, I have not received feedback from you on next cause of action",Yes,"yes, but i am not satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,I lost my phone. Can I pick another? I was paying faithfully until it got lost.,Passive,2025,2025-04
5B4xdqv,k4Q5d1,4/24/2025 4:45,recCCFjPEqUMwnQbD,4,,,No,No,Yes,Yes,Most of customer care are not picking calls nd also relying,No,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,My phone has a problem when I making a call,Detractor,2025,2025-04
lbqrxEN,RQ6Q9J,4/24/2025 8:19,recRZlMK45enyJMZa,8,,,Yes,Yes,No,No,0,Yes,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Happy with the services,Passive,2025,2025-04
MeDzv58,Jrblxz,4/24/2025 11:07,recFJZJpc4vDVxmPJ,5,,,No,Yes,No,No,No,No,"no, i have never used it",Free SMS – 25044,No,Poor network service on simcards and doesn't connect to WiFi even in the same house and if it does its very unstable,Detractor,2025,2025-04
b59xAxe,jrXyyJ,4/24/2025 11:35,recg7qJl2qXye16z4,10,,,Yes,Yes,No,No,No challenge so far,No,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,How do you update referrals,Promoter,2025,2025-04
RGd5pPQ,bMXK21,4/24/2025 12:56,rec4oIBuIQtVCtVwA,10,,,Yes,Yes,No,"no, i have never looked for customer care",m,Yes,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Make the prices better,Promoter,2025,2025-04
RGdKyM4,VaNRJM,4/24/2025 20:14,rec27Shbmm2l3Pdi7,8,,,Yes,Yes,No,No,Unlocking the phone after payment,No,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,I'm satisfied with mophones services,Passive,2025,2025-04
GxK1MMz,doGgqN,4/25/2025 4:31,recMHKa9WrPytpBPq,0,,,No,No,Yes,Yes,Every week you lock my phone even I paid,,,,,,Detractor,2025,2025-04
pbdGLaq,a1pzNy,4/25/2025 11:45,recguEeHJwcx7q86Q,10,,,Yes,Yes,No,No,,,,,,,Promoter,2025,2025-04
2EBxA0M,k4Pgqj,4/26/2025 3:35,recK4hA4pY1vS4tZm,8,,,Yes,Yes,No,No,,Yes,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Na,Passive,2025,2025-04
KYePKDA,bMAzrg,4/26/2025 14:26,recNLqbyb5k87HIzv,2,,,No,No,No,No,Your phones are not good at all,Yes,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,"I had a very big expectations on this phone 
 Because am online driver but this phone can't work..deu to too much heating and network loss",Detractor,2025,2025-04
PdD8ZBe,AYEyMe,4/26/2025 20:28,recmzCLm0ZK2kJci0,4,,,Yes,Yes,No,No,No challenge,No,"yes, and i am satisfied with the moapp",Reach Out via a Sales Agent,No,Good service,Detractor,2025,2025-04
44BpGPB,GVWylz,4/27/2025 14:38,rec6SyMZnTdZNAsu3,5,,,No,No,Yes,"no, i have never looked for customer care",Like right now I want to continue with the question and it still demands I fill in this slot,Yes,"yes, and i am satisfied with the moapp",MoPhones App,Yes,Overall its okay but the annoying part is the delays and constantly needing of updates on the app,Detractor,2025,2025-04
PdDy5V1,90GgLp,4/28/2025 18:24,recQhByHT8wy1EmHv,10,,,Yes,Yes,,,,,,,,,Promoter,2025,2025-04
J9djZbz,V7j4LJ,4/29/2025 19:30,recSJT34aHQjxnzeh,0,,,Yes,No,Yes,Yes,"I called customer service on my payment due date and asked for a 2-day grace period so my phone wouldn’t be disconnected. They agreed and assured me it wouldn’t be closed. But to my surprise, it was shut off later that same day. I always feel disappointed since its something has happened occasionally.",Yes,"yes, but i am not satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,feeling disappointed.,Detractor,2025,2025-04
LZz2bXv,bRelE1,4/30/2025 9:34,recEqEyIsFdJ3LP3m,0,,,No,No,Yes,Yes,Even after payment you still have to go through hell,No,"no, i have never used it",MoPhones App,Yes,Just useless,Detractor,2025,2025-04
BzdaY1Y,LxXEGp,5/3/2025 4:07,recB2vPnK8o8cJt6N,,,,Yes,Yes,,,,,,,,,,2025,2025-05
44JJ8pX,dGjQZy,5/3/2025 13:45,rec5xWYHFFvS2Jh8t,,,,No,Yes,,,,,,,,,,2025,2025-05
obeOdZb,10N41Q,5/5/2025 14:08,receIt5xXqm2fgQlN,,,,No,No,,,,,,,,,,2025,2025-05
xXMNgvE,LxODzl,5/6/2025 10:52,recJZmJhF1DymTq57,0,,,No,No,Yes,,,,,,,,Detractor,2025,2025-05
7RL9eJP,EV6qer,5/6/2025 10:57,rechRz3B3KY82cUFu,8,,,Yes,Yes,No,No,no any issues,No,"yes, and i am satisfied with the moapp",MoPhones App,No,am good,Passive,2025,2025-05
Pd1Byve,Wbq2la,5/6/2025 11:03,recql5kphjLtb0byU,10,,,Yes,Yes,Yes,No,I have not faced any challenge,No,"no, i have never used it",Free SMS – 25044,Yes,I don't have any feedback,Promoter,2025,2025-05
1Ad25kM,dGzEdr,5/6/2025 11:05,recLZkFarjG91ywaX,3,,,No,Yes,No,No,After a year of purchasing the phone I have had difficulty with my screen plus also the battery life....I have to always charge my phone..I think this phones are just old and Mophones has refurbished the outside bodies/cover.,Yes,"yes, but i am not satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Improve on the refurbishment. Not just the outer body.,Detractor,2025,2025-05
44JNyNd,WbqrrP,5/6/2025 11:09,recThlZQVpNeCuemO,6,,,No,Yes,Yes,No,Delayed,Yes,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Screen broken and poor battery performance,Detractor,2025,2025-05
7RL9g6L,BoeddN,5/6/2025 11:13,reczeeWOObPHIxGep,2,,,,,,,,,,,,,Detractor,2025,2025-05
XxJBvbj,r9YaDN,5/6/2025 11:14,recqcsIV2PaND50vB,9,,,Yes,Yes,No,No,No challenge,No,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No,Promoter,2025,2025-05
EkdbeWl,j4z6x9,5/6/2025 11:16,recmMbLemPm8vKIBI,10,,,Yes,Yes,No,No,Phone power percentage,Yes,"yes, and i am satisfied with the moapp",Free SMS – 25044,No,No,Promoter,2025,2025-05
gDdNX44,V7NQMN,5/6/2025 11:17,rech7uI2hQHoZxSVM,9,,,Yes,Yes,No,No,No,,,,,,Promoter,2025,2025-05
81apgVz,904XzV,5/6/2025 11:18,recXwBq3iAO8GxRbz,0,,,No,No,No,Yes,"I paid 16000 as deposit for my note 10 plus,a month later its screen stopped responding and i brought it back for repair, after the repair i was told to clear the whole remaining loan before i could be handed back the phone,it was very ridiculous since it was never it the agreement. I couldn't raise the entire 41000 that remained and so i had to forego the device and in turn told i will be compensated part of my deposit since all along i had been paying my premiums in full and on timely basis.Upto now i have never received a single cent over 6 months now🥲🥲.Really heartbreaking how a company i had trust in did this to me.I don't even think I would ever recommend anyone purchasing any gadget from you guys.",No,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Check on my issue,Detractor,2025,2025-05
obeVY8b,RejM6J,5/6/2025 11:18,recVN8X4IMWgQYjiD,3,,,Yes,Yes,No,No,Nothing,,,,,,Detractor,2025,2025-05
MeNd2DY,XAQJXe,5/6/2025 11:20,recNZkOnclk3QB5Bx,0,,,No,No,Yes,Yes,No assistance,Yes,"yes, but i am not satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,No guarantee,Detractor,2025,2025-05
obeVYJP,zBdy81,5/6/2025 11:21,rec7UyZKfq4mPl6Tk,0,,,No,Yes,No,No,No,No,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Very dissapointed with your phones. Barely a month after getting the device the phone screen died. I paid for repair and got a replacement of which within 3 weeks the screen went dead again.,Detractor,2025,2025-05
rjarQMp,8DrLpY,5/6/2025 11:23,recb0AUkHgdl8XtvI,10,,,,,,,,,,,,,Promoter,2025,2025-05
q4DEqg7,j4zoBE,5/6/2025 11:23,recvXRQf7Lql3tZtH,4,,,No,Yes,No,No,2,Yes,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,,Detractor,2025,2025-05
RGMBQll,60PKkB,5/6/2025 11:24,recy5EI2y3pUBSkda,10,,,Yes,Yes,No,No,N/a,No,"yes, and i am satisfied with the moapp",MoPhones App,No,I would like to purchase another phone since the second Samsung s9 is being paid by my brother. And Samsung Galaxy A14 is used by my wife. So i need Samsung Galaxy Note 10 for myself. Kindly consider my request,Promoter,2025,2025-05
44JNYyb,oNzRO1,5/6/2025 11:26,recW1hP4LyugXlXbk,10,,,Yes,Yes,No,No,No challenge,No,"yes, and i am satisfied with the moapp",Self-Service USSD – *789*25044#,Yes,People around me loves my phone. The want it but can't access in eldoret. I don't know how we can help them,Promoter,2025,2025-05
LZ7MxVp,j4zo16,5/6/2025 11:29,recWRHsXrsvCtAdWI,7,,,Yes,Yes,Yes,No,Connection problem,No,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,No,Passive,2025,2025-05
gDdNPrO,8DrL0Y,5/6/2025 11:30,recfaU4J2bsbuowbQ,6,,,Yes,Yes,Yes,Yes,Customer not receiving the calls,No,"yes, but i am not satisfied with the moapp",MoPhones App,Yes,The discount you give to customers during subsequent purchase is a scam. Personally I never received it. I have paid full amount,Detractor,2025,2025-05
RGMBqLJ,xbzJNo,5/6/2025 11:31,recCU7KdUvXC3K1oG,0,,,Yes,Yes,Yes,Yes,,,,,,,Detractor,2025,2025-05
LZ7M4Dy,2doKeD,5/6/2025 11:31,recd7KvkkXMM7sNng,10,,,Yes,No,Yes,Yes,Yes I waited for almost two hours waiting for the phone to be unlocked after making my payment,No,"yes, but i am not satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,No,Promoter,2025,2025-05
xXMN8rd,NNP76j,5/6/2025 11:32,rec4YPsvm2M9uOV6A,1,,,No,No,Yes,Yes,"App stopped and was forced to pay remaining balance which violated t he deal.
 Phone had issues .
 Phone replaced with fake screen
 Numerous issues.
 Paid and the phone had warranty",No,"yes, but i am not satisfied with the moapp",MoPhones App,Yes,"Poor customer service
 Phone with numerous issues
 Paid for service for a phone with warranty",Detractor,2025,2025-05
KY5BrbM,rQYZ0R,5/6/2025 11:35,recQfPfd0D6KqOEK3,3,,,No,No,No,Yes,You phone keeps on locking despite the fact that I have paid,No,"yes, and i am satisfied with the moapp",Reach Out via a Sales Agent,Yes,Kindly ensure once the device is paid it remains unlocked,Detractor,2025,2025-05
A72bM1B,40OKbY,5/6/2025 11:35,recScS5iYQ02XapaB,10,,,Yes,Yes,No,"no, i have never looked for customer care",Extend on closing time or just allow your employees get in touch even after office hours,No,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Nil,Promoter,2025,2025-05
BzdbW7e,DOaz25,5/6/2025 11:36,recHyYkoGBGf9BC4f,8,,,Yes,Yes,Yes,No,,No,"no, i have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,,Passive,2025,2025-05
ZjERBEa,yA1YG0,5/6/2025 11:40,recnqAK9ZHkl4cfch,0,,,No,No,No,Yes,I wasnt refunded my deposit,No,"yes, and i am satisfied with the moapp",Reach Out via a Sales Agent,No,No,Detractor,2025,2025-05
KY5BK2g,8DrxpP,5/6/2025 11:40,recYXOsBfKLApVA2C,5,,,Yes,No,Yes,Yes,Poor communication,No,"no, i have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,Please ensure we can chat on WhatsApp if I need help and not with AI because AI doesn't answer all questions hence not helping,Detractor,2025,2025-05
2Eax6JD,XAQ0Pz,5/6/2025 11:41,recpI5eYJYGxRC7Yk,7,,,,,,,,,,,,,Passive,2025,2025-05
xXMNWXG,oNzGxV,5/6/2025 11:41,rectJr6sSdfVpM6jb,0,,,No,No,No,Yes,I try calling and requesting to chat with an agent but no response both on call and on whatsapp,Yes,"yes, but i am not satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,I have given feedback but nothing was done about it so I wonder what this feedback query is all about,Detractor,2025,2025-05
BzdbR9N,MZVR9A,5/6/2025 11:42,recZgnxbMxAqmgDDG,,,,No,No,,,,,,,,,,2025,2025-05
2Eax67L,Zkea0e,5/6/2025 11:42,reck5c7il0c1KZGPq,9,,,Yes,Yes,No,No,,,,,,,Promoter,2025,2025-05
xXjxgpy,BYeRe5,5/6/2025 11:43,recfxaFLgrYjIUUdR,9,,,Yes,Yes,No,No,No challenge,Yes,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Not at the moment,Promoter,2025,2025-05
Y50zAb0,NNPWqB,5/6/2025 11:43,recWk4pL4GsYeFyb5,10,,,Yes,Yes,Yes,No,,,,,,,Promoter,2025,2025-05
Gx9BPko,RejP7j,5/6/2025 11:43,recX4W1Ryzmzp3o2o,2,,,No,No,Yes,"no, i have never looked for customer care",the phone takes too long to Auto Start once the payment is done,Yes,"no, i have never used it",Reach Out via a Sales Agent,Yes,please update software to automatically update one payment is done,Detractor,2025,2025-05
aQ5rM2y,EV6WEq,5/6/2025 11:44,recQwDmOYhnFxd1vc,9,,,Yes,Yes,Yes,No,It just took longer than usual but after several refreshes it did,Yes,"yes, and i am satisfied with the moapp",MoPhones App,No,Do you,Promoter,2025,2025-05
2EaxGqV,AR9vyk,5/6/2025 11:44,rechJPf87SXAINP1f,10,,,Yes,Yes,No,No,Good customer service,No,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,"My phone was stolen, I need assistance in tracking the same",Promoter,2025,2025-05
A7Kg7PD,EVl7Ar,5/6/2025 11:45,recpLCvPtuKqUHbWT,0,,,No,No,No,Yes,The phone am using is perthetic try sell something worth anyone's noney,Yes,"yes, and i am satisfied with the moapp",Reach Out via a Sales Agent,No,I would like a refund,Detractor,2025,2025-05
QKeBZRp,DOadDX,5/6/2025 11:45,recoVeoJCeeHHlQ2C,,,,Yes,Yes,,,,,,,,,,2025,2025-05
2EaxWAV,zBdDJZ,5/6/2025 11:46,recqNdDTLjuIrphTI,10,,,Yes,Yes,No,No,,Yes,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,,Promoter,2025,2025-05
xXMNqpJ,OqE5BM,5/6/2025 11:46,recX5rxOBbmOk3jqP,7,,,Yes,No,Yes,No,No,No,"yes, but i am not satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,No,Passive,2025,2025-05
vGex9lg,j4zQoR,5/6/2025 11:46,recuhvBP6AvuXVHO6,7,,,Yes,Yes,No,No,no difficulty,Yes,"yes, but i am not satisfied with the moapp",MoPhones App,No,I wish a person could be able to pay daily. like an introduction to daily payment as an option.,Passive,2025,2025-05
81apBbA,Zke6ba,5/6/2025 11:49,recfRpeAh0dWOURSw,9,,,Yes,Yes,Yes,No,Nil,No,"no, i have never used it",,,,Promoter,2025,2025-05
5Bjq7yQ,BoekN4,5/6/2025 11:49,recovoGsbZ89cQmIE,,,,,Yes,,,,,,,,,,2025,2025-05
9q9Jk4V,904Dap,5/6/2025 11:49,rect5BpHLRHHJ1biS,3,,,Yes,Yes,Yes,No,IMPROVE PAYMENT REFLECTION,Yes,"no, i have never used it",Free SMS – 25044,No,NONE,Detractor,2025,2025-05
LZ7MrVv,Boek55,5/6/2025 11:49,recJYDOkg7rtihPLX,0,,,No,No,No,No,My phone is faulty everytime I bring it there the problem develops again,No,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,"This phone is not helping,I'm dissapointed",Detractor,2025,2025-05
Pd1Bxax,MZVzBE,5/6/2025 11:50,recZLI6kIftOw7G1U,9,,,Yes,Yes,No,No,No problem nor issue,No,"yes, and i am satisfied with the moapp",Reach Out via a Sales Agent,No,,Promoter,2025,2025-05
81apXol,zBdDPg,5/6/2025 11:50,recopD4XRkZeZ6Vet,,,,No,No,,,,,,,,,,2025,2025-05
Zjo5Zao,oZzNgx,5/6/2025 11:50,recgdmyke1kpXBde5,10,,,Yes,Yes,Yes,Yes,wilsonochola3@gmail.com,,,,,,Promoter,2025,2025-05
9q9J8E1,aJz6dv,5/6/2025 11:51,recsVEUVVMKZIgokD,,,,No,,,,,,,,,,,2025,2025-05
J9pkQlR,xbzpXd,5/6/2025 11:51,reci7Ymgdub2aAnrY,10,,,Yes,Yes,No,No,No,No,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,,Promoter,2025,2025-05
Ek5z7vq,ZAe4P0,5/6/2025 11:51,rec5C2Ii3TD7nj4Hs,8,,,Yes,Yes,No,No,7,Yes,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,but I can suggest daily payment program weekly is much draining please 🙏 that's my feedback,Passive,2025,2025-05
D4kv8jp,BoekRY,5/6/2025 11:52,recvXpU5v5YaYp8yd,10,,,Yes,Yes,Yes,No,Making the app more responsive would be great,No,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,You can kindly send message to all user its very rare we contact support so i still had the previous support number i had to contact my sales agent.,Promoter,2025,2025-05
RGMBAd4,AG8gEo,5/6/2025 11:52,recptyI57jqHb2BFt,9,,,Yes,Yes,No,No,,No,"no, i have never used it",Reach Out via a Sales Agent,No,"Phone's network keep misbehaving especially when someone calls, when I'm making calls and when am about to do transactions,this is depressing",Promoter,2025,2025-05
A72bE5e,pqzKPE,5/6/2025 11:52,recEeD1sHLrg4dzRu,2,,,,,,,,,,,,,Detractor,2025,2025-05
NplBa0G,V7N0Pg,5/6/2025 11:53,recoGaFCZnb3GM3Nh,10,,,Yes,Yes,No,No,No challenges,No,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Satisfied customers,Promoter,2025,2025-05
rjarepo,10RlJO,5/6/2025 11:54,recvQF8wbPVq5uNnB,8,,,Yes,Yes,No,No,No challenge,Yes,"yes, and i am satisfied with the moapp",MoPhones App,No,No,Passive,2025,2025-05
1Ad2Lzl,EV6X8A,5/6/2025 11:55,rec1beuMSzkd3wRP5,6,,,No,No,Yes,Yes,"You lock my phone even when i have made my weekly payment. This has happened twice, please update your systems so you don't inconvenience me.",Yes,"no, i have never used it",Self-Service USSD – *789*25044#,Yes,Please update your system in time when someone pays on time.,Detractor,2025,2025-05
OD4B6kM,aJz609,5/6/2025 11:55,recQ0a6Gmc6909lRG,10,,,Yes,Yes,No,No,I can say you are very nice,No,"no, i have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,No,Promoter,2025,2025-05
obeVq1x,2doebb,5/6/2025 11:56,recKGakMTzFkL8QST,5,,,No,Yes,No,"no, i have never looked for customer care",1,Yes,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,The camera is not clear and the battery does not hold power for long. Full battery takes about 6 hrs and it is done,Detractor,2025,2025-05
LZ7Me8G,v6zAWg,5/6/2025 11:56,recsXh6KPaIbscLxK,7,,,Yes,No,Yes,Yes,Some customer care are rude,Yes,"no, i have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Payments are abit high,Passive,2025,2025-05
obeVJ0V,GEbzW2,5/6/2025 11:57,recW3kKL2gKpPYwgq,3,,,,,,,,,,,,,Detractor,2025,2025-05
yP2qOZW,GEbz4k,5/6/2025 11:57,reck7iYhjBibsFM0a,8,,,Yes,Yes,No,Yes,Phone screen quality was poor n crak by itself took it to the service center only to be told i broke it myself,Yes,"yes, but i am not satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,,Passive,2025,2025-05
EkdbpbN,qQzd6d,5/6/2025 11:57,recHjUGu3akAEoCFi,9,,,Yes,Yes,No,No,,,,,,,Promoter,2025,2025-05
ZjERMbz,xbzpRk,5/6/2025 11:57,recG7fSSRfF3K2zjn,8,,,No,Yes,Yes,Yes,Calling for support after work time,Yes,"yes, but i am not satisfied with the moapp",Reach Out via a Sales Agent,No,Can somebody switch to higher device before completion of payment if you need change?,Passive,2025,2025-05
aQ5rW0B,d1PMPN,5/6/2025 11:59,recf9NqC4P4XW2ZVj,10,,,Yes,Yes,No,No,Services are good,No,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,No,"So far, I like the product and am satisfied with the service",Promoter,2025,2025-05
xXMNG8v,v6zNPl,5/6/2025 11:59,recVE26u8nvcKraos,10,,,Yes,Yes,No,No,none,No,"yes, and i am satisfied with the moapp",Free SMS – 25044,No,no,Promoter,2025,2025-05
9qXGyA1,oZzJGb,5/6/2025 12:01,recFnQ7HA5bSgEbu7,6,,,Yes,No,No,Yes,You told me I can communicate and pay like a day later then Calling customer care they say no,No,"no, i have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,"When someone communicates he is to pay a day later 
 Kindly see if it is possible",Detractor,2025,2025-05
ZjER0oa,WbqAMa,5/6/2025 12:02,recWEcZP4lICkcoyC,8,,,Yes,Yes,Yes,Yes,Warranty,No,"yes, and i am satisfied with the moapp",Free SMS – 25044,No,Good but istill have issues with repair,Passive,2025,2025-05
OD4BRKa,l1vA2o,5/6/2025 12:03,recBHFBeNtEO2uNyt,8,,,Yes,Yes,Yes,Yes,"Had paid for my phone but still took hours to get unlocked ,despite the fact that i was still connected to network",Yes,"yes, and i am satisfied with the moapp",Free SMS – 25044,Yes,"Thank you for your great service 
 I enjoyed every bit of it
 Lots of gratitudes to agent Dorin who has been there for me since I took the phone till the clearance of the loan
 Until next time ,chao",Passive,2025,2025-05
WOEpyjj,zBdKog,5/6/2025 12:04,recnTZ2X5PdInwDeq,8,,,Yes,Yes,Yes,No,Battery lifespan,Yes,"yes, and i am satisfied with the moapp",MoPhones App,No,Good service,Passive,2025,2025-05
pbyPa6E,10Rrol,5/6/2025 12:05,recWpWUit7YiqlUlA,8,,,Yes,Yes,No,No,I haven't had any challenge,No,"yes, and i am satisfied with the moapp",MoPhones App,No,,Passive,2025,2025-05
gDdN2lP,EV6P9X,5/6/2025 12:06,recuvE3kDPUURmcex,6,,,Yes,No,No,Yes,You never pick calls,Yes,"no, i have never used it",Reach Out via a Sales Agent,No,No,Detractor,2025,2025-05
vGexk54,gPz5EO,5/6/2025 12:07,rec8OKjhb0yBWQhsP,5,,,No,Yes,No,No,Am ok,No,"yes, and i am satisfied with the moapp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Am not sure if am ok,Detractor,2025,2025-05
